BankCode,Bank Name,Branch,MICR,IFSC,Address,Location,NetWorth,DefaultBank,,,,,
19360,Axis Bank,SIDDARTHA LAYOUT,570211006,UTIB0003341,SIDDARTHA LAYOUT   999999,,,0,,,,,
19368,Axis Bank,CIVIL LINES RAIPUR,492211012,UTIB0003163,CIVIL LINES RAIPUR   999999,,,0,,,,,
19372,Axis Bank,JAORA,457211051,UTIB0002660,JAORA   999999,,,0,,,,,
19394,Axis Bank,NARENGI,781211013,UTIB0002837,NARENGI   999999,,,0,,,,,
19401,Axis Bank,HUMANYUN NAGAR (HYDERABAD),500211012,UTIB0000426,HUMANYUN NAGAR (HYDERABAD)   999999,,,0,,,,,
19402,Axis Bank,SANJAY GANDHI TRANSPORT NAGAR,110211098,UTIB0001361,SANJAY GANDHI TRANSPORT NAGAR   999999,,,0,,,,,
19201,Axis Bank,SION (MUMBAI),400211056,UTIB0000654,SION (MUMBAI)   999999,,,0,,,,,
19220,Axis Bank,SEONI,480211101,UTIB0001035,SEONI   999999,,,0,,,,,
19226,Axis Bank,BANGARMAU,208211016,UTIB0004040,BANGARMAU   999999,,,0,,,,,
19250,Axis Bank,"BYRAMJI TOWN, NAGPUR",440211005,UTIB0000804,"BYRAMJI TOWN, NAGPUR   999999",,,0,,,,,
19257,Axis Bank,"PILIBHIT, UTTAR PRADESH",262211002,UTIB0000628,"PILIBHIT, UTTAR PRADESH   999999",,,0,,,,,
